ROI_number,X_MNI,Y_MNI,Z_MNI,VOL,Frontal_L,Frontal_R,Insula_L,Insula_R,Occipital_L,Occipital_R,Parietal_L,Parietal_R,Subcortical_L,Subcortical_R,Temporal_L,Temporal_R
111,45.2,-15.2,58.545,55,0,1,0,0,0,0,0,0,0,0,0,0
112,-57.774,-14.981,44.642,53,1,0,0,0,0,0,0,0,0,0,0,0
113,-42.214,14.952,36.548,84,1,0,0,0,0,0,0,0,0,0,0,0
114,60.537,9.6829,18.61,82,0,1,0,0,0,0,0,0,0,0,0,0
115,-56.958,6.1972,2.7887,71,1,0,0,0,0,0,0,0,0,0,0,0
116,-37.114,57.722,-7.5949,79,1,0,0,0,0,0,0,0,0,0,0,0
117,45.66,27.191,-13.872,47,0,1,0,0,0,0,0,0,0,0,0,0
118,-2.1468,39.156,19.982,109,0.88991,0.11009,0,0,0,0,0,0,0,0,0,0
119,13.344,23.484,59.625,128,0,1,0,0,0,0,0,0,0,0,0,0
120,-4.5333,2.16,68.693,75,1,0,0,0,0,0,0,0,0,0,0,0
121,35.341,-5.9765,45.694,85,0,1,0,0,0,0,0,0,0,0,0,0
122,-52,-18.651,44.093,43,1,0,0,0,0,0,0,0,0,0,0,0
123,-16.222,24.173,53.16,81,1,0,0,0,0,0,0,0,0,0,0,0
124,39.333,39.312,18.645,93,0,1,0,0,0,0,0,0,0,0,0,0
125,-0.67273,39.291,-10.836,110,0.71818,0.28182,0,0,0,0,0,0,0,0,0,0
126,4.5432,60.617,29.481,81,0,1,0,0,0,0,0,0,0,0,0,0
127,-15.928,-9.0602,73.855,83,1,0,0,0,0,0,0,0,0,0,0,0
128,53.827,30.769,14.462,104,0,1,0,0,0,0,0,0,0,0,0,0
129,-47.846,42.571,-7.7143,91,1,0,0,0,0,0,0,0,0,0,0,0
130,17.931,-27.126,68.46,87,0,1,0,0,0,0,0,0,0,0,0,0
131,-26.241,44.379,23.586,58,1,0,0,0,0,0,0,0,0,0,0,0
132,-21.321,9.8491,-16.302,53,1,0,0,0,0,0,0,0,0,0,0,0
133,-3.443,37.291,9.6456,79,1,0,0,0,0,0,0,0,0,0,0,0
134,56.982,-8.0702,39.053,57,0,1,0,0,0,0,0,0,0,0,0,0
135,-33.158,19.211,39.105,76,1,0,0,0,0,0,0,0,0,0,0,0
136,5.8246,15.825,-22,57,0,1,0,0,0,0,0,0,0,0,0,0
137,5.2308,-12.022,70.725,91,0,1,0,0,0,0,0,0,0,0,0,0
138,4.0312,18.156,24.531,64,0,1,0,0,0,0,0,0,0,0,0,0
139,-38.64,-15.24,44.88,50,1,0,0,0,0,0,0,0,0,0,0,0
140,30.667,23.037,47.611,108,0,1,0,0,0,0,0,0,0,0,0,0
141,-23.325,30.468,-14.571,77,1,0,0,0,0,0,0,0,0,0,0,0
142,-1.5238,-0.73016,33.079,63,0.87302,0.12698,0,0,0,0,0,0,0,0,0,0
143,26.784,38.757,-10.784,74,0,1,0,0,0,0,0,0,0,0,0,0
144,-5.3524,4.1333,58.971,105,1,0,0,0,0,0,0,0,0,0,0,0
145,6.5143,34.029,-10.514,70,0,1,0,0,0,0,0,0,0,0,0,0
146,26.566,50.283,23.98,99,0,1,0,0,0,0,0,0,0,0,0,0
147,-6.0571,40.895,41.619,105,1,0,0,0,0,0,0,0,0,0,0,0
148,39.826,3.9565,38.087,92,0,1,0,0,0,0,0,0,0,0,0,0
149,47.458,-2.5424,6.1695,59,0,1,0,0,0,0,0,0,0,0,0,0
150,-22.474,0.71053,52,76,1,0,0,0,0,0,0,0,0,0,0,0
151,-29.821,30.282,-19.026,78,1,0,0,0,0,0,0,0,0,0,0,0
152,-45.707,-7.2195,8.2439,41,1,0,0,0,0,0,0,0,0,0,0,0
153,20.068,11.763,-15.763,59,0,1,0,0,0,0,0,0,0,0,0,0
154,-9.7067,69.573,8.0267,75,1,0,0,0,0,0,0,0,0,0,0,0
155,10.916,-33.518,73.373,83,0,1,0,0,0,0,0,0,0,0,0,0
156,-40.377,10.868,8.566,53,1,0,0,0,0,0,0,0,0,0,0,0
157,-34.592,-5.9155,46.254,71,1,0,0,0,0,0,0,0,0,0,0,0
158,3.4595,54.505,7.009,111,0.14414,0.85586,0,0,0,0,0,0,0,0,0,0
159,3.1765,22.735,-10.941,68,0.19118,0.80882,0,0,0,0,0,0,0,0,0,0
160,-38.264,32.549,-16.835,91,1,0,0,0,0,0,0,0,0,0,0,0
161,-39.699,8.1505,57.226,93,1,0,0,0,0,0,0,0,0,0,0,0
162,8.6852,-3.8148,41.426,108,0,1,0,0,0,0,0,0,0,0,0,0
163,18.093,65.651,-7.9767,86,0,1,0,0,0,0,0,0,0,0,0,0
164,41.162,33.541,1.2432,74,0,1,0,0,0,0,0,0,0,0,0,0
165,-13.826,-32.203,75.275,69,1,0,0,0,0,0,0,0,0,0,0,0
166,42,-13.524,44.762,63,0,1,0,0,0,0,0,0,0,0,0,0
167,-21.395,43.256,34.349,86,1,0,0,0,0,0,0,0,0,0,0,0
168,6.4375,43.875,49.812,96,0,1,0,0,0,0,0,0,0,0,0,0
169,48.475,31.129,31.644,101,0,1,0,0,0,0,0,0,0,0,0,0
170,6.3736,4.6593,54.681,91,0,1,0,0,0,0,0,0,0,0,0,0
171,-49.108,-3.5405,35.946,74,1,0,0,0,0,0,0,0,0,0,0,0
172,-10.194,14.516,-21.806,62,1,0,0,0,0,0,0,0,0,0,0,0
173,-48.245,17.347,7.6735,98,1,0,0,0,0,0,0,0,0,0,0,0
174,39.103,19.103,8.6552,58,0,1,0,0,0,0,0,0,0,0,0,0
175,-50.642,25.63,29.901,81,1,0,0,0,0,0,0,0,0,0,0,0
176,23.154,26.051,-20.59,78,0,1,0,0,0,0,0,0,0,0,0,0
177,14.016,-6.2171,64.682,129,0,1,0,0,0,0,0,0,0,0,0,0
178,-38.659,56.418,2.2857,91,1,0,0,0,0,0,0,0,0,0,0,0
179,-34.103,-0.39316,63.111,117,1,0,0,0,0,0,0,0,0,0,0,0
180,12,37.795,-25.41,78,0,1,0,0,0,0,0,0,0,0,0,0
181,52.857,4.0714,3.5714,84,0,1,0,0,0,0,0,0,0,0,0,0
182,-9.7204,49.075,15.828,93,1,0,0,0,0,0,0,0,0,0,0,0
183,-5.2857,24.452,62.81,84,1,0,0,0,0,0,0,0,0,0,0,0
184,25.109,59.196,4.587,92,0,1,0,0,0,0,0,0,0,0,0,0
185,26.747,13.253,46.213,75,0,1,0,0,0,0,0,0,0,0,0,0
186,-7.7647,-23.294,75.106,85,1,0,0,0,0,0,0,0,0,0,0,0
187,-18.464,68.821,2.3929,56,1,0,0,0,0,0,0,0,0,0,0,0
188,-9.4444,-0.13889,41.556,72,1,0,0,0,0,0,0,0,0,0,0,0
189,56.102,1.8776,42.531,98,0,1,0,0,0,0,0,0,0,0,0,0
190,-55.429,-10.524,29.238,42,1,0,0,0,0,0,0,0,0,0,0,0
191,9.011,58.901,-1.1209,91,0,1,0,0,0,0,0,0,0,0,0,0
192,35.758,21.824,39.582,91,0,1,0,0,0,0,0,0,0,0,0,0
193,-43.545,50.795,-5.0909,88,1,0,0,0,0,0,0,0,0,0,0,0
194,-41.041,40,9.6986,73,1,0,0,0,0,0,0,0,0,0,0,0
195,40.562,10.854,56.292,89,0,1,0,0,0,0,0,0,0,0,0,0
196,12.752,43.174,15.358,109,0,1,0,0,0,0,0,0,0,0,0,0
197,-50.729,8.6042,10.25,96,1,0,0,0,0,0,0,0,0,0,0,0
198,-24,-17.528,72.652,89,1,0,0,0,0,0,0,0,0,0,0,0
199,60.964,7.0843,9.0602,83,0,1,0,0,0,0,0,0,0,0,0,0
200,4.6966,62.112,19.978,89,0,1,0,0,0,0,0,0,0,0,0,0
201,50.673,6.4423,26.231,104,0,1,0,0,0,0,0,0,0,0,0,0
202,-4.5556,59.556,32.333,72,1,0,0,0,0,0,0,0,0,0,0,0
203,28.381,-9.6905,52.595,84,0,1,0,0,0,0,0,0,0,0,0,0
204,-12.927,0.34146,72.366,82,1,0,0,0,0,0,0,0,0,0,0,0
205,-12.867,56.667,35.511,90,1,0,0,0,0,0,0,0,0,0,0,0
206,-35.159,28.348,33.275,69,1,0,0,0,0,0,0,0,0,0,0,0
207,40.432,46.977,2.5455,88,0,1,0,0,0,0,0,0,0,0,0,0
208,49.974,-8.7368,53.632,76,0,1,0,0,0,0,0,0,0,0,0,0
209,-34,26.73,-9.7778,63,1,0,0,0,0,0,0,0,0,0,0,0
210,-7.4679,37.339,-18.55,109,1,0,0,0,0,0,0,0,0,0,0,0
211,30.978,-11.844,68.867,90,0,1,0,0,0,0,0,0,0,0,0,0
212,-28.889,47.861,-10.056,72,1,0,0,0,0,0,0,0,0,0,0,0
213,9.9535,21.14,33.558,86,0,1,0,0,0,0,0,0,0,0,0,0
214,-5.0667,26.067,-15.867,90,1,0,0,0,0,0,0,0,0,0,0,0
215,-8.4286,8.2857,39.786,84,1,0,0,0,0,0,0,0,0,0,0,0
216,43.505,41.333,-16,93,0,1,0,0,0,0,0,0,0,0,0,0
217,-45.646,-11.722,57.392,79,1,0,0,0,0,0,0,0,0,0,0,0
218,24.916,-1.6822,69.047,107,0,1,0,0,0,0,0,0,0,0,0,0
219,50.386,34.932,22.318,88,0,1,0,0,0,0,0,0,0,0,0,0
220,-3.1376,-6.8807,41.89,109,0.92661,0.073394,0,0,0,0,0,0,0,0,0,0
221,-6.6667,40.259,31.407,108,1,0,0,0,0,0,0,0,0,0,0,0
222,-54.747,25.893,4.6133,75,1,0,0,0,0,0,0,0,0,0,0,0
223,19.878,30.041,47.408,98,0,1,0,0,0,0,0,0,0,0,0,0
224,7.093,55.186,-23.814,86,0,1,0,0,0,0,0,0,0,0,0,0
225,9.7802,51.407,-4.7033,91,0,1,0,0,0,0,0,0,0,0,0,0
226,-46.316,23.495,23.347,95,1,0,0,0,0,0,0,0,0,0,0,0
227,22.436,58.974,14.872,78,0,1,0,0,0,0,0,0,0,0,0,0
228,-6.2366,-16.194,58.215,93,1,0,0,0,0,0,0,0,0,0,0,0
229,-29.111,49.978,31.267,90,1,0,0,0,0,0,0,0,0,0,0,0
